Date,Close,Signal,TN_TP_FP_FN,proba_buy,proba_hold,Equity Value,DCA Value
2024-06-18,5487.03,Hold,TN,0.001621852287942,0.998378147712058,1000.0,1000.0
2024-06-20,5473.17,Hold,TN,0.0004542933432634,0.9995457066567366,1000.0,997.474043334919
2024-06-21,5464.62,Hold,TN,0.0005360625699857,0.9994639374300144,1000.0,995.9158233142521
2024-06-24,5447.87,Hold,TN,0.0005897737050887,0.9994102262949112,1000.0,992.86317005739
2024-06-25,5469.3,Hold,TN,0.0004764369085705,0.9995235630914296,1000.0,996.7687437466171
2024-06-26,5477.9,Hold,TN,0.0005583485556709,0.9994416514443292,1000.0,998.3360761650656
2024-06-27,5482.87,Hold,TN,0.000828541577688,0.999171458422312,1000.0,999.2418485045645
2024-06-28,5460.48,Hold,TN,0.0008789360360191,0.9991210639639808,1000.0,995.1613167779291
2024-07-01,5475.09,Hold,TN,0.0008789360360191,0.9991210639639808,1000.0,997.8239594097354
2024-07-02,5509.01,Hold,TN,0.0008110152467569,0.9991889847532432,1000.0,1004.0058100648257
2024-07-03,5537.02,Hold,TN,0.0008110152467569,0.9991889847532432,1000.0,1009.1105753021217
2024-07-05,5567.19,Hold,TN,0.0019134096717356,0.9980865903282644,1000.0,1014.6089961235859
2024-07-08,5572.85,Hold,TN,0.001376255163836,0.998623744836164,1000.0,1015.640519552472
2024-07-09,5576.98,Hold,TN,0.0015925710892454,0.9984074289107544,1000.0,1016.3932036092385
2024-07-10,5633.91,Hold,TN,0.0017828312902081,0.9982171687097918,2000.0,2026.7685797234572
2024-07-11,5584.54,Hold,TN,0.0006186384287374,0.9993813615712626,3000.0,3009.007989870061
2024-07-12,5615.35,Hold,TN,0.0005268340911035,0.9994731659088965,3000.0,3025.6087369625516
2024-07-15,5631.22,Hold,TN,0.0005615386978647,0.9994384613021352,3000.0,3034.159657324701
2024-07-16,5667.2,Hold,TN,0.0008979062237682,0.9991020937762318,3000.0,3053.54605396176
2024-07-17,5588.27,Hold,TN,0.0015325886810714,0.9984674113189286,3000.0,3011.0177525008626
2024-07-18,5544.59,Hold,TN,0.0030160934747727,0.9969839065252272,3000.0,2987.4825161165722
2024-07-19,5505.0,Hold,TN,0.0093482321166809,0.9906517678833192,3000.0,2966.151014091525
2024-07-22,5564.41,Hold,TN,0.0039700760441228,0.9960299239558772,3000.0,2998.161737388015
2024-07-23,5555.74,Hold,TN,0.0046410989470573,0.9953589010529426,3000.0,2993.4902515947047
2024-07-24,5427.13,Buy,FP,0.4482335199655096,0.5517664800344904,3000.0,2924.193851608817
2024-07-25,5399.22,Buy,FP,0.5542640353463815,0.4457359646536185,2984.5719560799166,2909.1556545509984
2024-07-26,5459.1,Buy,FP,0.1387047681078673,0.8612952318921328,3017.6723240460424,2941.4196187151765
2024-07-29,5463.54,Buy,FP,0.1822865765564354,0.8177134234435646,3020.1266599473383,2943.8119366992937
2024-07-30,5436.44,Buy,FP,0.3988268687129362,0.6011731312870637,3005.1463664957346,2929.2101760304686
2024-07-31,5522.3,Hold,TN,0.0105605142696579,0.989439485730342,3052.6079161545786,2975.472433263875
2024-08-01,5446.68,Buy,TP,0.2428604678041359,0.757139532195864,3010.806816862688,2934.727594083929
2024-08-02,5346.56,Buy,TP,0.5799005281283501,0.4200994718716498,2955.462647845178,2880.781901162795
2024-08-05,5186.33,Buy,TP,0.4892729580978676,0.5107270419021324,2866.8909718396276,2794.4483176954222
2024-08-06,5240.03,Buy,TP,0.514919392020686,0.4850806079793139,2896.57516956476,2823.38243385468
2024-08-07,5199.5,Buy,TP,0.5350477078261519,0.4649522921738481,2874.171062790093,2801.544450094257
2024-08-08,5319.31,Buy,TP,0.6319599905801664,0.3680400094198336,2940.399437640152,2866.0993189404526
2024-08-09,5344.16,Buy,TP,0.5694079998408564,0.4305920001591435,2954.135979790423,2879.488756306515
2024-08-12,5344.39,Buy,TP,0.5377654359977427,0.4622345640022572,3954.2631188123373,3879.612682688575
2024-08-13,5434.43,Hold,FN,0.0198528993763306,0.9801471006236694,4020.882854875361,3944.9747400888173
2024-08-14,5455.21,Hold,FN,0.0213996271543606,0.9786003728456394,4036.257778413673,3960.059408600335
2024-08-15,5543.22,Hold,TN,0.0125169332706188,0.9874830667293812,4101.375536864436,4023.9478434270263
2024-08-16,5554.25,Hold,TN,0.0127566384825892,0.9872433615174108,4109.536528521201,4031.954768050801
2024-08-19,5608.25,Hold,TN,0.0131313424616019,0.986868657538398,4149.49061278823,4071.1545803521453
2024-08-20,5597.12,Hold,TN,0.0108681832104644,0.9891318167895355,4141.255632086526,4063.075063483368
2024-08-21,5620.85,Hold,TN,0.0166530923947785,0.9833469076052214,4158.813232450537,4080.301203222459
2024-08-22,5570.64,Hold,TN,0.0167141111466658,0.983285888853334,4121.663332986694,4043.852637006709
2024-08-23,5634.61,Hold,TN,0.0149246215704857,0.9850753784295142,4168.994125034135,4090.2898961348014
2024-08-26,5616.84,Hold,TN,0.006484753493438,0.993515246506562,4155.846271748485,4077.390254197859
2024-08-27,5625.8,Hold,TN,0.013165962294095,0.9868340377059048,4162.475690175014,4083.894519350082
2024-08-28,5592.18,Hold,TN,0.0089355675408312,0.9910644324591688,4137.600573266543,4059.489006580245
2024-08-29,5591.96,Hold,TN,0.0083602083650563,0.9916397916349436,4137.4377973676765,4059.3293036412397
2024-08-30,5648.4,Hold,TN,0.0048228267292028,0.9951771732707972,4179.197214331215,4100.300366720645
2024-09-03,5528.93,Buy,TP,0.2105687912438367,0.7894312087561632,4090.8025023426612,4013.5744116161704
2024-09-04,5520.07,Buy,TP,0.2109442717272034,0.7890557282727966,4084.2470729610704,4007.1427387089493
2024-09-05,5503.41,Buy,TP,0.0501517179549201,0.94984828204508,4071.920498074243,3995.048870691535
2024-09-06,5408.42,Buy,TP,0.9083346244084072,0.0916653755915929,4001.638304286742,3926.0934971636693
2024-09-09,5471.05,Buy,TP,0.4032112810138825,0.5967887189861175,4047.9776431320015,3971.558020208729
2024-09-10,5495.52,Buy,TP,0.0717444059799934,0.9282555940200066,5066.082762428561,4989.321342560839
